Основное средство;Инвентарный номер;Подразделение;Дата принятия к учету
Шкаф вытяжной, 1200х800х2200;УФА000049;УФА Терапевтическое отделение;30.08.2011
Дефибриллятор BeneHeart C2 с принадлежностями;БП-001502;УФА Терапевтическое отделение;23.10.2024
Аппарат озонотерапии мод. Медозонс БМ-03;УФА000219;УФА Терапевтическое отделение;10.06.2016
Камера Aramo SG для тестирования кожи с принадлежностями;УФА000233;УФА Терапевтическое отделение;22.05.2017
"Автомобиль ФОРД ""Фокус"" Н249ОС797";УПК005271;УФА Транспортный отдел;04.05.2011
"Автомобиль ФОРД ""Фокус"" О165ОР797";УПК005270;УФА Транспортный отдел;04.05.2011
Аппарат Lumatec CTL 3803/010 с принадлежностями (Уфа);УФА000196;УФА Хирургическое отделение;23.07.2012
Эвакуатор дыма Clian Vac (Клин Вак);УПК006405;УФА Хирургическое отделение;04.09.2015
Установка ультрозвуковая диагностическая медицинская Logiq Book XP с принадлежностями;УФА000014;УФА Хирургическое отделение;19.05.2011
Установка ультрозвуковая диагностическая медицинская Logiq Book XP с принадлежностями;УФА000013;УФА Хирургическое отделение;19.05.2011
Эвакуатор дыма Clian Vac (Клин Вак);УПК006408;УФА Хирургическое отделение;10.06.2013
Установка ультрозвуковая диагностическая медицинская Logiq Book XP с принадлежностями;УФА000016;УФА Хирургическое отделение;19.05.2011
Установка отоларингологическая С31 Economy с принадлежностями;УФА000012;УФА Хирургическое отделение;20.05.2011
Кольпоскоп МК-200 с видеотсистемой;УФА000194;УФА Хирургическое отделение;25.06.2012
Кольпоскоп МК-200 с видеотсистемой;УФА000195;УФА Хирургическое отделение;25.06.2012
Установка ультрозвуковая диагностическая медицинская Logiq Book XP с принадлежностями;УФА000015;УФА Хирургическое отделение;19.05.2011
Кресло гинекологическое КГМ-3П;СРТ000499;УФА Хирургическое отделение;02.04.2009
Гастроскоп EG-760R;БП-001422;УФА Хирургическое отделение;02.09.2024
"Аппарат электрохирургический высокочастотный ЭХВЧ-200-01 ""ЭФА"", мод.0202-3, 300Вт";УФА000048;УФА Хирургическое отделение;30.08.2011
Кресло гинекологическое КГМ-3П;УПК006750;УФА Хирургическое отделение;10.06.2013
Монитор фетальный Sonicaid TEAM с модулем печати и анализа Care с принадлежностями (Краснодар);УФА000188;УФА Хирургическое отделение;22.12.2011
Установка для мойки гибких эндоскопов серии Bandeq, модели  CYW-501 с принадлежностями;УПК008426;УФА Хирургическое отделение;27.08.2021
Автоклав Vacuklav 24BL+, камера 29л, Melag Германия;УПК008428;УФА Хирургическое отделение;27.08.2021
Офтальмоскоп налобный бинокулярный НБО-3-01;УПК007751;УФА Хирургическое отделение;29.03.2019
"Прибор для электро-хирургии ""Сургитрон ЕМС"" портативный";УПК006129;УФА Хирургическое отделение;25.06.2013
"Сфинктерометр СФ-01 (""Гастроскан-СФ"")";УПК007757;УФА Хирургическое отделение;29.03.2019
Гастроскоп EG-760R;БП-000154;УФА Хирургическое отделение;16.03.2022
Коагулятор хирургический, модель RF-Magic II;УПК007756;УФА Хирургическое отделение;29.03.2019
Помпа подачи воды JW-2 к гибким эндоскопам;БП-000158;УФА Хирургическое отделение;16.03.2022
Аудиометр МА 52;УФА000192;УФА Хирургическое отделение;16.04.2012
Установка для мойки гибких эндоскопов серии Bandeq, модели  CYW-501 с принадлежностями;УПК008427;УФА Хирургическое отделение;27.08.2021
Урофлоуметр УФМ-01 Яровит;УПК007755;УФА Хирургическое отделение;29.03.2019
"Комплекс электро-лазерно-магнитной терапии и цветоимпульсного воздействия КАП-ЭЛМ-01 ""Андро-Гин""";УФА000243;УФА Хирургическое отделение;19.09.2018
Видеопроцессор эндосопический EP-6000;БП-000156;УФА Хирургическое отделение;16.03.2022
